C4872|breast-cancer
C9246|stage-iiib-inflammatory-breast-cancer
C5214|breast-adenocarcinoma
C40360|breast-adenocarcinoma-with-spindle-cell-metaplasia
C40349|breast-carcinoma-with-osteoclastic-giant-cells
C40355|breast-columnar-cell-mucinous-carcinoma
C40354|breast-mucinous-cystadenocarcinoma
C5142|invasive-cribriform-breast-carcinoma
C40366|oncocytic-breast-carcinoma
C40369|sebaceous-breast-carcinoma
C5163|breast-adenocarcinoma-with-squamous-metaplasia
C6987|ductal-breast-carcinoma-with-squamous-metaplasia
C5175|signet-ring-cell-breast-carcinoma
C54691|invasive-lobular-breast-carcinoma-signet-ring-variant
C5176|metastatic-signet-ring-cell-breast-carcinoma
C4001|inflammatory-breast-cancer
C47857|paget-disease-of-the-breast
C47858|paget-disease-of-the-breast-without-invasive-carcinoma
C4019|paget-disease-and-intraductal-carcinoma-of-the-breast
C7951|paget-disease-of-the-breast-with-invasive-ductal-carcinoma
C3771|lobular-breast-carcinoma
C76328|metastatic-lobular-breast-carcinoma
C7950|invasive-lobular-breast-carcinoma
C9136|invasive-lobular-breast-carcinoma-with-predominant-in-situ-component
C97049|invasive-lobular-breast-carcinoma-alveolar-variant
C97051|invasive-lobular-breast-carcinoma-pleomorphic-variant
C97052|invasive-lobular-breast-carcinoma-solid-variant
C97053|invasive-lobular-breast-carcinoma-tubulolobular-variant
C5160|mixed-lobular-and-ductal-breast-carcinoma
C7688|invasive-ductal-and-lobular-carcinoma
C6393|invasive-ductal-and-invasive-lobular-breast-carcinoma
C7689|invasive-ductal-and-lobular-carcinoma-in-situ
C7690|intraductal-and-lobular-carcinoma
C6939|ductal-breast-carcinoma-in-situ-and-invasive-lobular-carcinoma
C4017|ductal-breast-carcinoma
C76326|metastatic-ductal-breast-carcinoma
C5141|apocrine-breast-carcinoma
C5457|invasive-apocrine-breast-carcinoma
C5140|apocrine-breast-carcinoma-in-situ
C40367|acinic-cell-breast-carcinoma
C66719|atypical-medullary-breast-carcinoma
C40368|glycogen-rich-clear-cell-breast-carcinoma
C40365|lipid-rich-breast-carcinoma
C9119|medullary-breast-cancer
C9131|mucinous-breast-cancer
C4189|secretory-breast-carcinoma
C9135|tubular-breast-cancer
C4194|invasive-ductal-carcinoma-not-otherwise-specified
C40350|breast-carcinoma-with-choriocarcinomatous-features
C40351|breast-carcinoma-with-melanotic-features
C9132|invasive-ductal-breast-carcinoma-with-predominant-intraductal-component
C5161|pleomorphic-breast-carcinoma
C7362|scirrhous-breast-carcinoma
C9134|papillary-breast-cancer
C6870|solid-papillary-breast-carcinoma
C4190|intraductal-papillary-breast-carcinoma
C7645|intracystic-papillary-breast-carcinoma
C5139|intraductal-micropapillary-breast-carcinoma
C36085|invasive-papillary-breast-carcinoma
C7439|intraductal-papillary-adenocarcinoma-with-invasion
C36084|invasive-micropapillary-breast-carcinoma
C139532|breast-cancer-by-ajcc-v8-stage
C139554|breast-cancer-by-ajcc-v8-prognostic-stage
C139533|breast-cancer-by-ajcc-v8-anatomic-stage
C9245|invasive-breast-cancer
C5130|adenoid-cystic-breast-carcinoma
C40356|breast-large-cell-neuroendocrine-carcinoma
C6760|breast-small-cell-carcinoma
C97965|breast-solid-neuroendocrine-carcinoma
C40395|malignant-breast-myoepithelioma
C40374|microinvasive-breast-carcinoma
C40361|adenosquamous-breast-carcinoma
C40362|low-grade-adenosquamous-breast-carcinoma
C5166|mucoepidermoid-breast-carcinoma
C5167|high-grade-mucoepidermoid-breast-carcinoma
C5168|low-grade-mucoepidermoid-breast-carcinoma
C5177|squamous-cell-breast-carcinoma
C5178|metastatic-squamous-cell-breast-carcinoma
C40359|squamous-cell-breast-carcinoma-acantholytic-variant
C40357|squamous-cell-breast-carcinoma-large-cell-keratinizing-variant
C40358|squamous-cell-breast-carcinoma-spindle-cell-variant
C5164|metaplastic-breast-carcinoma
C40364|mixed-epithelialmesenchymal-metaplastic-breast-carcinoma
C47847|breast-carcinoma-with-chondroid-metaplasia
C47848|breast-carcinoma-with-osseous-metaplasia
C40347|invasive-mixed-breast-carcinoma
C27829|invasive-breast-carcinoma-by-histologic-grade
C27830|grade-1-invasive-breast-carcinoma
C27831|grade-2-invasive-breast-carcinoma
C27832|grade-3-invasive-breast-carcinoma
